word,meaning,phonetic,example,example_cn
buy,（过去式bought[bɔ:t]）买,/bai/,I need to buy some milk from the store.,我需要去商店买些牛奶。
buy—bought,买,/bai/,I bought a gift for my friend yesterday.,我昨天给朋友买了一份礼物。
by,（表示方式）乘,/baɪ/,She goes to work by subway every day.,她每天坐地铁去上班。
bye,再见（口语）,/bai/,"Bye, see you tomorrow at school.",再见，明天学校见。
cabbage,洋白菜;卷心菜,/'kæbidʒ/,We need to buy a cabbage for the soup.,我们需要买一个卷心菜来煮汤。
cake,蛋糕,/keɪk/,My grandmother baked a chocolate cake for my birthday.,我奶奶为我的生日烤了一个巧克力蛋糕。
camp,野营,,We went to summer camp for two weeks last July.,去年七月我们去夏令营待了两周。
can,能够；可以,/kæn/,I can swim very well.,我游泳游得很好。
Canada,加拿大,/'kænədə/,Canada is known for its beautiful natural landscapes.,加拿大以其美丽的自然风光而闻名。
Canadian,加拿大的；加拿大人,,My neighbor is Canadian and he loves hockey.,我的邻居是加拿大人，他非常喜欢冰球。
Canberra,堪培拉（澳大利亚首都）,/ˈkænbərə/,Canberra is the capital city of Australia.,堪培拉是澳大利亚的首都。
candy,糖果,/'kændi/,The children each got a piece of candy.,每个孩子都得到了一颗糖。
canteen,食堂,/kæn'ti:n/,We eat lunch in the school canteen every day.,我们每天在学校食堂吃午饭。
can—could,能,/kæn/,I could run fast when I was young.,我小时候能跑得很快。
cap,帽子,/kæp/,He wears a baseball cap to block the sun.,他戴着一顶棒球帽遮挡阳光。
car,小汽车,/kɑː/,My father drives a red car to work.,我父亲开一辆红色汽车去上班。
carrot,胡萝卜,/'kærət/,Rabbits love to eat fresh carrots.,兔子喜欢吃新鲜的胡萝卜。
cartoon,漫画,/kɑːˈtuːn/,The children enjoy watching cartoons on Saturday morning.,孩子们喜欢星期六早上看动画片。
cat,猫,/kæt/,The cat is sleeping on the sofa.,猫正在沙发上睡觉。
catch butterflies,捉蝴蝶,/kætʃ'bʌtəflaiz/,The kids went to the garden to catch butterflies.,孩子们去花园捉蝴蝶了。
cave,山洞；洞穴,,The explorers discovered a dark cave in the mountain.,探险家在山中发现了一个黑暗的洞穴。
certainly,当然；可以,/'sə:tənli/,Can you help me with this box? Certainly.,你能帮我搬这个箱子吗？当然可以。
chair,椅子,/tʃeə/,Please pull up a chair and sit down.,请拉把椅子坐下。
chart,图表,/tʃɑ:t/,The teacher showed us a chart of the solar system.,老师给我们看了一张太阳系的图表。
chase,追赶,,The dog likes to chase the ball in the park.,那只狗喜欢在公园里追球。
cheap,便宜的,/tʃiːp/,"This pen was very cheap, only one dollar.",这支笔非常便宜，只要一美元。
cheetah,猎豹,,The cheetah is the fastest animal on land.,猎豹是陆地上跑得最快的动物。
chicken,鸡肉,/'tʃɪkɪn/,We had roasted chicken for dinner last night.,我们昨晚晚餐吃了烤鸡。
children,儿童 \(child 的复数）,/'tʃɪldrən/,The children are playing happily in the playground.,孩子们正在操场上开心地玩耍。
Children's Center,儿童活动中心,/'tʃildrəns'sentə/,The children played games at the Children's Center after school.,孩子们放学后在儿童活动中心玩游戏。
china,中国;瓷器,/'tʃainə/,This beautiful plate is made of fine china.,这个漂亮的盘子是用精细瓷器制成的。
Chinese,中文，汉语；中国人adj. 中国的，中国人的；中国话的,/'tʃai'ni:z/,She can speak Chinese very well.,她中文说得很好。
Chinese book,语文书,/buk/,Please open your Chinese book to page ten.,请打开你的语文书到第十页。
chocolate,巧克力,,I bought a box of chocolate for my mother.,我给妈妈买了一盒巧克力。
chopstick(s),筷子,/'tʃɔpstik/,He can use chopsticks very well.,他用筷子用得很好。
chopsticks,筷子（复数）,/'tʃɔpstiks/,Please pass me the chopsticks so I can eat.,请把筷子递给我，这样我就能吃饭了。
Christmas,圣诞节,,We decorate the tree every Christmas.,我们每年圣诞节都装饰圣诞树。
cinema,电影院,/ˈsɪnɪmə/,Let us go to the cinema to see the new movie.,我们去电影院看那部新电影吧。
city,城市,/'siti/,Shanghai is a very big and modern city.,上海是一座非常大且现代化的城市。
class,班级；课程,/klɑ:s/,Our English class starts at nine o'clock.,我们的英语课九点钟开始。
classmate,同学,/'klɑ:smeit/,She is my classmate and also my best friend.,她是我的同学，也是我最好的朋友。
classroom,教室,/'klɑːsruːm/,Our classroom is clean and bright.,我们的教室干净又明亮。
clean,清洁的，干净的；vi.打扫，清扫,/kli:n/,Please clean your room before dinner.,请在晚饭前打扫你的房间。
clean my room,打扫我的房间,,I need to clean my room this weekend.,我这个周末需要打扫我的房间。
clean the bedroom,打扫卧室,/kli:n ði: 'bedrum/,My sister helps me clean the bedroom.,我姐姐帮我打扫卧室。
clean the room,打扫房间,/kli:nrum'mju:zik/,We take turns to clean the room every day.,我们每天轮流打扫房间。
cleaned,打扫,,I cleaned the kitchen after dinner last night.,昨晚晚饭后我打扫了厨房。
cleaner,清洁工,/'kli:nə/,The cleaner sweeps the floor every morning.,清洁工每天早上扫地。
clean—cleaned,打扫,/kli:n/,She cleaned her desk after class.,她下课后把书桌擦干净了。
clever,聪明的；聪颖的,/ˈklevə(r)/,The clever fox found a way to get the grapes.,聪明的狐狸找到了够到葡萄的方法。
climb,（过去式climbed）爬,/klaim/,The cat tried to climb the tall tree.,那只猫试图爬上那棵高树。
climber,攀登者,/'klaimə/,The climber reached the top of the mountain.,攀登者到达了山顶。
climbing,（正在）攀登；攀爬,,He is climbing the ladder to get the ball.,他正在爬梯子去拿球。
climbing mountains,爬山,/'klaimiŋ'mauntins/,My father enjoys climbing mountains on weekends.,我父亲喜欢在周末爬山。
clock,时钟；钟,/klɒk/,The clock on the wall shows three o'clock.,墙上的钟显示三点钟。
close,关上,/kləuz/,Please close the door when you leave the room.,离开房间时请关上门。
closet,壁橱,衣橱,Hang your coat in the closet.,把你的外套挂在壁橱里。,
clothes,衣服,/kləʊðz/,She bought some new clothes for the trip.,她为这次旅行买了一些新衣服。
cloud,云；云彩,/klaud/,A white cloud floated across the blue sky.,一朵白云飘过蓝天。
cloudy,阴天的,/'klaʊdi/,"It is cloudy today, so I will take my umbrella.",今天是阴天，所以我会带伞。
club,俱乐部,/klʌb/,I joined the chess club at my school.,我加入了学校的象棋俱乐部。
cm(centimeter),厘米,,The insect is only two centimeters long.,这只昆虫只有两厘米长。
coach,教练,/kəʊtʃ/,Our basketball coach taught us a new play.,我们的篮球教练教了我们一个新战术。
coat,外套；大衣,/kəʊt/,"Put on your coat, it is cold outside.",穿上你的外套，外面很冷。
cock,公鸡,/kɔk/,The cock crows every morning at sunrise.,公鸡每天日出时打鸣。
coffee,咖啡,/'kɔfi/,Would you like a cup of coffee?,你想来杯咖啡吗？
Coke,可乐,/kəuk/,"I would like a glass of Coke, please.",请给我一杯可乐。
cold,寒冷的,/kəuld/,The water is too cold for swimming.,水太冷了，不适合游泳。
collect leaves,收集树叶,/kə'lektli:vz/,The children collect leaves for their art project.,孩子们为他们的美术项目收集树叶。
collect stamps,集邮,/kə'lektstæmp/,My grandfather likes to collect stamps from different countries.,我爷爷喜欢收集不同国家的邮票。
collecting stamps,集邮,/kə'lektiŋ/,Collecting stamps is a popular hobby around the world.,集邮是全世界流行的爱好。
colour,颜色,/'kʌlə/,What colour is your new bicycle?,你的新自行车是什么颜色的？
colourful,色彩丰富的,/'kʌləful/,The garden is full of colourful flowers in spring.,春天花园里开满了色彩缤纷的花朵。
come,快；加油,,Come here and look at this picture.,过来看这张照片。
come from,来自…….;从………来,/kʌmfrɔm/,Where do you come from?,你从哪里来？
Come in,进来,/kʌm in/,Please come in and close the door.,请进来把门关上。
come on,用于祈使句以鼓励某人做某事，尤指促其加速或努力试一试,/kʌmɔn/,"Come on, we are going to be late!",快点，我们要迟到了！
come out,露出;出现,/kʌmaut/,The sun finally came out after the rain.,雨后太阳终于出来了。
comic,滑稽的,/ˈkɒmɪk/,He told a comic story that made everyone laugh.,他讲了一个滑稽的故事，逗得大家都笑了。
comic book,漫画书,/'kɔmikbuk/,I like to read comic books about superheroes.,我喜欢看关于超级英雄的漫画书。
company,公司,/'kɔmpəni/,My father works for a big computer company.,我父亲在一家大型电脑公司工作。
computer,计算机；电脑,/kəmˈpjuːtə/,She uses a computer to do her homework.,她用电脑做作业。
computer game,电脑游戏,/kəm'pju:tə ɡeim/,He enjoys playing computer games in his free time.,他喜欢在空闲时间玩电脑游戏。
computer room,计算机教室,,The computer room is on the third floor.,计算机教室在三楼。
contest,比赛；竞赛,,She won first prize in the singing contest.,她在歌唱比赛中获得了一等奖。
cook,（过去式cooked）做（饭）,/kuk/,My mother cooks delicious food for us every day.,我妈妈每天给我们做美味的食物。
cook dinner,做饭,/kuk'dinə/,I help my mother cook dinner every evening.,我每天傍晚帮妈妈做晚饭。
cook the meals,做饭,/kuk ði: mi:ls/,My father knows how to cook the meals very well.,我父亲很会做饭。
cooking,烹饪；烹调,/ˈkʊkɪŋ/,She is learning cooking from her grandmother.,她在跟奶奶学烹饪。
cool,订好的；酷的,/ku:/,"It is cool in autumn, perfect for a walk.",秋天很凉爽，非常适合散步。
could,(can的过去式) 能,,"When I was young, I could run very fast.",我年轻时能跑得很快。
count,数数,/ kaunt/,The little girl can count from one to ten.,那个小女孩能从一数到十。
count insects,数昆虫,/kaunt'insekts/,The students count insects for their science class.,学生们为科学课数昆虫。
count to ten,数到十,,Please count to ten before you open your eyes.,请数到十再睁开眼睛。
country,国家,/ˈkʌntri/,China is a large country with a long history.,中国是一个历史悠久的大国。
countryside,乡村,,We spent the weekend in the beautiful countryside.,我们在美丽的乡村度过了周末。
cousin,同辈表亲 \(堂亲\),/'kʌzn/,My cousin lives in Beijing and visits us every summer.,我表弟住在北京，每年夏天都来看我们。
cow,母牛；奶牛,/kaʊ/,The cow is eating grass in the field.,奶牛正在田野里吃草。
crayon,蜡笔,/'kreɪən/,She drew a rainbow using different coloured crayons.,她用不同颜色的蜡笔画了一道彩虹。
crossing,十字路口,/ˈkrɒsɪŋ/,Wait for the green light at the crossing.,在十字路口等绿灯。
cucumber,黄瓜,/'kju:kʌmbə/,I like to put cucumber in my salad.,我喜欢在沙拉里放黄瓜。
curtain,窗帘,/'kə:tn/,Please draw the curtain to block the sunlight.,请拉上窗帘挡住阳光。
cute,逗人喜爱的,/kju:t/,The puppy is very cute with its big eyes.,那只小狗有双大眼睛，非常可爱。
cycling,骑自行车运动,,Cycling is good exercise for the legs.,骑自行车是很好的腿部运动。
dad,爸爸（口语）,/dæd/,My dad takes me to school every morning.,我爸爸每天早上送我去上学。
dance,（过去式danced）跳舞,/'dɑ:ns/,She loves to dance to the music.,她喜欢随着音乐跳舞。
dancing,跳舞；舞蹈,,She has been learning dancing since she was five.,她从五岁起就一直学跳舞。
date,日期,/deit/,What is the date today?,今天是什么日期？
day,一天；一日,/deɪ/,"It has been a long day, I am very tired.",这真是漫长的一天，我很累了。
Dear,亲爱的,/dɪə/,You are my dear friend.,你是我亲爱的朋友。
December,十二月,/di'sembə/,December is the last month of the year.,十二月是一年中的最后一个月。
deep,深的,/diːp/,The river is too deep to cross on foot.,这条河太深了，不能徒步过河。
deer,鹿,/diə/,We saw a deer running through the forest.,我们看到一只鹿跑过森林。
degree,度,/dɪˈɡriː/,She earned a degree in computer science from the university.,她获得了那所大学的计算机科学学位。
delicious,美味的；可口的,/dɪ'lɪʃəs/,The soup my grandmother made was absolutely delicious.,我祖母做的汤非常美味。
design,设计,/di'zain/,She wants to design her own dress for the party.,她想为派对设计自己的裙子。
desk,书桌,/desk/,There is a lamp on my desk.,我的书桌上有一盏台灯。
diary,日记,,She writes in her diary every night before bed.,她每晚睡前写日记。
dictionary,词典;字典,/'dikʃənəri/,I look up new words in my dictionary.,我在词典里查生词。
difference,不同;区别,/'difərəns/,Can you tell the difference between the two pictures?,你能看出这两张图片的区别吗？
different,不同的,/'difərənt/,We come from different cities but we are good friends.,我们来自不同的城市，但我们是好朋友。
dining,hall 饭厅,,The dining room is next to the kitchen.,餐厅在厨房旁边。
dining hall,餐厅,,The dining hall can seat two hundred people.,这个餐厅可以坐两百人。
dinner,晚餐；正餐,/'dinə/,We usually have dinner at seven o'clock.,我们通常七点吃晚餐。
dinosaur,恐龙,,The dinosaur lived millions of years ago.,恐龙生活在数百万年前。
dirty,肮脏的,/'dɜːti/,His shoes are dirty because he played in the mud.,他的鞋很脏，因为他在泥里玩了。
dive,跳水,/daiv/,He can dive very deep.,他能潜得很深。
diving,跳水,/'daiviŋ/,Diving is a popular sport at the summer Olympics.,跳水是夏季奥运会中的一项热门运动。
do,（过去式did [did]）vt. 做；完成；进行.,/du/,I need to do my homework.,我需要做作业。
do an experiment,做实验,/æniks'periməntli:vz/,The students will do an experiment in science class.,学生们将在科学课上做一个实验。
do homework,做作业,/dəu 'həumwə:k/,I do homework as soon as I get home from school.,我放学一回到家就做作业。
do housework,做家务,/du 'haʊswə:k/,My mother does housework every weekend.,我妈妈每个周末做家务。
do kung fu,练武术,/duː ˌkʌŋ ˈfuː/,He goes to a class to learn how to do kung fu.,他去上课学习练武术。
do morning exercise,做早操,,We do morning exercise every day at school.,我们每天在学校做早操。
do morning exercises,做早操,,The students do morning exercises in the playground.,学生们在操场上做早操。
do the dishes,洗餐具,/'diʃiz/,"After dinner, I help my mother do the dishes.",晚饭后，我帮妈妈洗碗。
doctor,医生,/'dɒktə/,The doctor checked my heart.,医生检查了我的心脏。
dog,狗,/dɒg/,The dog is playing in the yard.,狗在院子里玩耍。
doing,morning exercises 正在晨练,,What are you doing right now?,你现在在做什么？
doing morning exercises,（正在）做早操,,The students are doing morning exercises on the playground.,学生们正在操场上做早操。
doll,玩具娃娃,/dɔl/,The little girl loves her new doll.,那个小女孩喜欢她的新玩具娃娃。
dollar,元 \(美元等）,/'dɒlə/,This book costs ten dollars.,这本书十美元。
donkey,驴子,/'dɔŋki/,The donkey is carrying heavy loads.,驴驮着重物。
door,门,/dɔː/,Please close the door.,请关上门。
down,减少；降低,/daʊn/,Please sit down.,请坐下。
drank,喝,,She drank a glass of water after the run.,她跑步后喝了一杯水。
draw,画画,/drɔ:/,She can draw beautiful pictures.,她能画出漂亮的画。
draw cartoon,画漫画,,My brother can draw cartoon characters very well.,我哥哥很会画漫画角色。
draw cartoons,画漫画,/drɔː/,She draws cartoons for the school newspaper.,她为校报画漫画。
draw pictures,画画,/drɔ:'piktʃəs/,The children love to draw pictures in art class.,孩子们喜欢在美术课上画画。
dream,梦,,I had a strange dream last night.,我昨晚做了一个奇怪的梦。
dress,连衣裙,/dres/,She wore a beautiful red dress.,她穿了一条漂亮的红裙子。
drink,喝；饮,/drɪŋk/,Would you like something to drink?,你想喝点什么吗？
drink ware,喝水,/driŋkwεə/,Please drink ware after the meal.,饭后请喝水。
drink water,喝水,/driŋk'wɔ:tə/,You should drink water every day to stay healthy.,你应该每天喝水来保持健康。
drinking,（正在）喝,,The cat is drinking milk from the bowl.,那只猫正在喝碗里的牛奶。
drink—drank,喝,/drɪŋk/,"I drink coffee every morning, but yesterday I drank tea.",我每天早上喝咖啡，但昨天我喝了茶。
drive,驾驶,/draiv/,She can drive a car.,她会开车。
driver,驾驶员,/'draivə/,The driver stopped the bus.,司机停下了公交车。
drop,(液体的)珠；滴,/drɔp/,Please drop the letter in the mailbox.,请把信投进邮箱。
duck,鸭子,/dʌk/,The duck is swimming in the pond.,鸭子在池塘里游泳。
e-card,电子卡片,/ekɑ:d/,I sent my friend an e-card for her birthday.,我给我的朋友寄了一张生日电子卡片。
each,各自；每个,/i:tʃ/,Each student has a book.,每个学生都有一本书。
each other,相互,,Tom and Mary help each other with homework.,汤姆和玛丽互相帮助做作业。
ear,耳朵,/ɪə/,Rabbits have long ears.,兔子有长耳朵。
early,早到的,/ˈɜːli/,I wake up early every day.,我每天早起。
east,东,/i:st/,The sun rises in the east.,太阳从东方升起。
Easter,party 复活节派对,,We had an Easter party at school.,我们在学校举办了一个复活节派对。
easy,简单的,/'i:zi/,This question is easy.,这个问题很简单。
eat,（过去式ate['ɑ:ti]）吃,/i:t/,I eat breakfast at seven.,我七点吃早餐。
eat breakfast,吃早饭,,I always eat breakfast before going to school.,我总是在上学前吃早饭。
eat dinner,吃晚饭,/'dinə/,My family eats dinner together every evening.,我家每天晚上一起吃晚饭。
eating,breakfast 正在吃早饭,,She is eating breakfast in the kitchen.,她正在厨房里吃早饭。
eating lunch,（正在）吃午饭,,The students are eating lunch in the cafeteria.,学生们正在餐厅吃午饭。
eat—ate,吃,/i:t/,"I usually eat rice for lunch, but yesterday I ate noodles.",我通常午饭吃米饭，但昨天我吃了面条。
egg,鸡蛋,/eɡ/,I had two eggs for breakfast.,我早餐吃了两个鸡蛋。
eggplant,茄子,/'egplænt/,Eggplant is my favorite vegetable.,茄子是我最喜欢的蔬菜。
eight,八,/eɪt/,There are eight people in the room.,房间里有八个人。
eighteen,十八,/'eɪ'tiːn/,She is eighteen years old.,她十八岁。
eighth,第八,/eiθ/,He is in the eighth grade.,他上八年级。
eighty,八十,,My grandmother is eighty years old.,我祖母八十岁了。
either,也,/'aiðə/,You can choose either color.,你可以选两种颜色中的任意一种。
elephant,大象,/'elɪfənt/,The elephant is the largest animal on land.,大象是陆地上最大的动物。
eleven,十一 .,/i'levən/,There are eleven players on a football team.,一支足球队有十一名队员。
